,datetime,station,core,component,period,value,grade
0,2022-12-06T14:00:00+01:00,mc010,,pm10,24h,2.0,2.0
1,2022-12-06T14:00:00+01:00,mc014,,pm10,24h,,
2,2022-12-06T14:00:00+01:00,mc018,,pm10,24h,,
3,2022-12-06T14:00:00+01:00,mc027,,pm10,24h,,
4,2022-12-06T14:00:00+01:00,mc032,,pm10,24h,2.0,2.0
5,2022-12-06T14:00:00+01:00,mc042,,pm10,24h,2.0,2.0
6,2022-12-06T14:00:00+01:00,mc077,,pm10,24h,2.0,2.0
7,2022-12-06T14:00:00+01:00,mc085,,pm10,24h,3.0,3.0
8,2022-12-06T14:00:00+01:00,mc115,,pm10,24h,,
9,2022-12-06T14:00:00+01:00,mc117,,pm10,24h,3.0,3.0
10,2022-12-06T14:00:00+01:00,mc124,,pm10,24h,3.0,3.0
11,2022-12-06T14:00:00+01:00,mc143,,pm10,24h,3.0,3.0
12,2022-12-06T14:00:00+01:00,mc145,,pm10,24h,,
13,2022-12-06T14:00:00+01:00,mc171,,pm10,24h,3.0,3.0
14,2022-12-06T14:00:00+01:00,mc174,,pm10,24h,3.0,3.0
15,2022-12-06T14:00:00+01:00,mc190,,pm10,24h,3.0,3.0
16,2022-12-06T14:00:00+01:00,MC221,,pm10,24h,3.0,3.0
17,2022-12-06T14:00:00+01:00,mc282,,pm10,24h,,
18,2022-12-08T11:00:00+01:00,mc010,,pm10,24h,2.0,2.0
19,2022-12-08T11:00:00+01:00,mc014,,pm10,24h,,
20,2022-12-08T11:00:00+01:00,mc018,,pm10,24h,,
21,2022-12-08T11:00:00+01:00,mc027,,pm10,24h,,
22,2022-12-08T11:00:00+01:00,mc032,,pm10,24h,1.0,1.0
23,2022-12-08T11:00:00+01:00,mc042,,pm10,24h,2.0,2.0
24,2022-12-08T11:00:00+01:00,mc077,,pm10,24h,2.0,2.0
25,2022-12-08T11:00:00+01:00,mc085,,pm10,24h,1.0,1.0
26,2022-12-08T11:00:00+01:00,mc115,,pm10,24h,,
27,2022-12-08T11:00:00+01:00,mc117,,pm10,24h,2.0,2.0
28,2022-12-08T11:00:00+01:00,mc124,,pm10,24h,2.0,2.0
29,2022-12-08T11:00:00+01:00,mc143,,pm10,24h,2.0,2.0
30,2022-12-08T11:00:00+01:00,mc145,,pm10,24h,,
31,2022-12-08T11:00:00+01:00,mc171,,pm10,24h,2.0,2.0
32,2022-12-08T11:00:00+01:00,mc174,,pm10,24h,2.0,2.0
33,2022-12-08T11:00:00+01:00,mc190,,pm10,24h,2.0,2.0
34,2022-12-08T11:00:00+01:00,MC221,,pm10,24h,2.0,2.0
35,2022-12-08T11:00:00+01:00,mc282,,pm10,24h,,
